"","original","dir","uuid","new","old_path","new_path"
"1","BFA_1_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","d6b2c66c-1c74-11ed-8000-e71d7da96fa2","d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_1_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/d6b2c66c-1c74-11ed-8000-e71d7da96fa2.tif"
"2","BFA_2_GC.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","350c7387-e2dc-4b4e-ab00-f87214dacde4","350c7387-e2dc-4b4e-ab00-f87214dacde4.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_2_GC.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/350c7387-e2dc-4b4e-ab00-f87214dacde4.tif"
"3","BFA_2_soma.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","8c2914e8-3ff0-4c21-a92c-9a6995bb6f24","8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_2_soma.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/8c2914e8-3ff0-4c21-a92c-9a6995bb6f24.tif"
"4","BFA_3_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","e2e41028-30b2-4fcc-a405-1fdfd7026723","e2e41028-30b2-4fcc-a405-1fdfd7026723.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_3_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/e2e41028-30b2-4fcc-a405-1fdfd7026723.tif"
"5","BFA_4_GC.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","1dbb8df1-0edc-4efa-9fb3-d6ace490f01d","1dbb8df1-0edc-4efa-9fb3-d6ace490f01d.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_4_GC.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/1dbb8df1-0edc-4efa-9fb3-d6ace490f01d.tif"
"6","BFA_4_soma.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","525f1497-56a2-4025-87b7-d384b0e04e95","525f1497-56a2-4025-87b7-d384b0e04e95.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_4_soma.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/525f1497-56a2-4025-87b7-d384b0e04e95.tif"
"7","BFA_5_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","4944fa00-d18a-4dec-b3df-c134382d6ef7","4944fa00-d18a-4dec-b3df-c134382d6ef7.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_5_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/4944fa00-d18a-4dec-b3df-c134382d6ef7.tif"
"8","BFA_6_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","c0a012e0-de80-48ae-b417-af3911363941","c0a012e0-de80-48ae-b417-af3911363941.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/BFA_6_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/c0a012e0-de80-48ae-b417-af3911363941.tif"
"9","clof_1_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","802bb4d2-2920-449d-a90c-6fa0ba2562dc","802bb4d2-2920-449d-a90c-6fa0ba2562dc.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/clof_1_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/802bb4d2-2920-449d-a90c-6fa0ba2562dc.tif"
"10","clof_2_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks","47259066-e846-4d22-9a80-3ec76ecb84cb","47259066-e846-4d22-9a80-3ec76ecb84cb.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\hyperstacks/clof_2_BOTH.tif","C:\Users\fl299\PhD\Data\Mine\Confocal\CNC111_inhibitor_treated_ERGIC53_TIFs\analysis/47259066-e846-4d22-9a80-3ec76ecb84cb.tif"
